date,closing_price,volume,volume_log,ret_1d,ret_7d,is_outlier
2025-01-01,131.04,5000.0,8.517393171418904,,,False
2025-01-02,131.04,2000.0,7.601402334583733,0.0,,False
2025-01-03,138.26,2000.0,7.601402334583733,0.055097680097680124,,False
2025-01-04,164.68,2000.0,7.601402334583733,0.19108925213366135,,False
2025-01-05,165.06,5000.0,8.517393171418904,0.002307505465144466,,False
2025-01-06,137.99,1500.0,7.313886831633462,-0.16400096934448072,,False
2025-01-07,151.0,5000.0,8.517393171418904,0.09428219436191032,,False
2025-01-08,151.0,1500.0,7.313886831633462,0.0,0.15231990231990244,False
2025-01-09,190.09,1500.0,7.313886831633462,0.2588741721854304,0.4506257631257633,False
2025-01-10,135.16,1000.0,6.90875477931522,-0.2889683833973381,-0.022421524663677084,False
2025-01-11,146.99,5000.0,8.517393171418904,0.08752589523527687,-0.10742045178528048,False
2025-01-12,120.55,2000.0,7.601402334583733,-0.179876182053201,-0.26965951775112085,False
2025-01-13,168.97,2000.0,7.601402334583733,0.40165906262961437,0.22450902239292692,False
2025-01-14,149.75,1500.0,7.313886831633462,-0.11374800260401252,-0.008278145695364225,False
2025-01-15,149.75,1000.0,6.90875477931522,0.0,-0.008278145695364225,False
2025-01-16,180.33,5000.0,8.517393171418904,0.20420701168614364,-0.05134410016308055,False
2025-01-17,162.83,1000.0,6.90875477931522,-0.09704430765818217,0.20472033145901158,False
2025-01-18,147.76,1500.0,7.313886831633462,-0.09255051280476578,0.005238451595346527,False
2025-01-19,164.34,5000.0,8.517393171418904,0.11220898754737418,0.3632517627540439,False
2025-01-20,122.91,5000.0,8.517393171418904,-0.25209930631617383,-0.27259276794697285,False
2025-01-21,101.11,2000.0,7.601402334583733,-0.17736555202994064,-0.3248080133555926,False
2025-01-22,101.11,2000.0,7.601402334583733,0.0,-0.3248080133555926,False
2025-01-23,156.71,1000.0,6.90875477931522,0.5498961527049748,-0.13098208839350078,False
2025-01-24,191.67,1000.0,6.90875477931522,0.22308723119137253,0.17711723883805175,False
2025-01-25,167.01,2000.0,7.601402334583733,-0.1286586320237909,0.1302788305360043,False
2025-01-26,193.82,1500.0,7.313886831633462,0.16052930962217826,0.17938420348058903,False
2025-01-27,116.65,2000.0,7.601402334583733,-0.39815292539469604,-0.05093157594988196,False
2025-01-28,145.41,2000.0,7.601402334583733,0.24654950707243883,0.4381366828206903,False
2025-01-29,145.41,2000.0,7.601402334583733,0.0,0.4381366828206903,False
2025-01-30,123.02,1500.0,7.313886831633462,-0.1539784058868029,-0.21498308978367697,False
